occ_code,task_id,pi,normalized_time
11-9199.02,19536,0.1946669205438259,0.0157480314960629
11-9199.02,21092,0.124520672237126,0.0472440944881889
11-9199.08,15781,0.0727465232491179,0.0529801324503311
11-9199.08,15782,0.0797364203113996,0.0264900662251655
11-9199.08,15783,0.016396028239608,0.0066225165562913
11-9199.08,15784,0.0354214580424282,0.0264900662251655
11-9199.08,15785,0.0526152958506352,0.0264900662251655
11-9199.08,15786,0.0358623374321758,0.0662251655629139
11-9199.08,15787,0.0610725530967181,0.0132450331125827
11-9199.08,15788,0.0615043387666693,0.0132450331125827
11-9199.08,15789,0.0364452963227032,0.0794701986754966
11-9199.08,15790,0.0222534688217704,0.0331125827814569
11-9199.08,15791,0.0222327680045614,0.0397350993377483
11-9199.08,15792,0.0362259024055014,0.0463576158940397
11-9199.08,15793,0.002186425736801,0.0198675496688741
11-9199.08,15794,0.0319330947589199,0.0397350993377483
11-9199.08,15795,0.0550141892178371,0.0596026490066225
11-9199.08,15796,0.0382158873996471,0.0529801324503311
11-9199.08,15797,0.0360430741411666,0.0331125827814569
11-9199.08,15798,0.0363941044086894,0.0397350993377483
11-9199.08,15799,0.0190880405214464,0.0198675496688741
11-9199.08,15800,0.0195262436513117,0.0529801324503311
11-9199.08,15801,0.0169373054682172,0.0264900662251655
11-9199.08,15802,0.0353044479532539,0.0264900662251655
11-9199.08,15803,0.0486805349517776,0.0529801324503311
11-9199.08,15804,0.0828208888679904,0.0198675496688741
11-9199.08,15805,0.0077765341591487,0.0463576158940397
11-9199.08,15806,0.0078630754183155,0.0331125827814569
11-9199.08,15807,0.0297037628021878,0.0463576158940397
11-9199.11,15839,0.0022478177122117,0.0507246376811594
11-9199.11,15840,0.0602886468974908,0.0289855072463768
11-9199.11,15841,0.1499093981770184,0.0144927536231884
11-9199.11,15842,0.1198786882042497,0.0072463768115942
11-9199.11,15843,0.0014939645188581,0.072463768115942
11-9199.11,15844,0.0162894849261137,0.0289855072463768
11-9199.11,15845,0.0760088931008532,0.036231884057971
11-9199.11,15846,0.0109919885382592,0.0579710144927536
11-9199.11,15847,0.0171824736121446,0.0869565217391304
11-9199.11,15848,0.018598548265115,0.0869565217391304
11-9199.11,15849,0.0161530691266026,0.0579710144927536
11-9199.11,15850,0.0070090816986681,0.0434782608695652
